更新时间,#genre#
20260608 05:03,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8


央视频道,#genre#
CCTV1,http://14.155.204.124:8686/udp/239.77.1.17:5146
CCTV1,http://14.155.204.124:8686/udp/239.77.1.144:5146
CCTV1,http://14.155.204.124:8686/udp/239.77.0.86:5146
CCTV1,http://14.155.204.124:8686/udp/239.77.0.129:5146
CCTV1,http://110.252.211.133:4022/rtp/239.253.92.83:8012
CCTV1,http://171.213.166.46:4022/udp/239.94.0.1:5140
CCTV1,http://171.213.166.46:4022/udp/239.94.2.34:5140
CCTV1,http://171.213.166.46:4022/udp/239.94.1.18:5140
CCTV1,http://171.213.166.46:4022/udp/239.94.1.151:5140
CCTV1,http://171.213.166.46:4022/udp/239.94.0.31:5140
CCTV1,http://171.213.166.46:4022/udp/239.94.2.69:5140
CCTV1,http://106.116.242.122:9999/rtp/239.254.200.45:8008
CCTV1,http://117.8.142.177:8834/udp/225.1.1.120:5002
CCTV1,http://120.0.44.212:9999/rtp/239.253.92.83:8012
CCTV1,http://122.235.220.158:9999/udp/233.50.200.99:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.200.130:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.200.143:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.118:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.222:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.200.247:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.202.21:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.202.22:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.54:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.1:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.31:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.88:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.92:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.94:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.96:5140
CCTV1,http://122.235.220.158:9999/udp/233.50.201.95:5140
CCTV2,http://14.155.204.124:8686/udp/239.77.1.158:5146
CCTV2,http://14.155.204.124:8686/udp/239.253.43.17:5146
CCTV2,http://110.252.211.133:4022/rtp/239.253.92.190:6065
CCTV2,http://171.213.166.46:4022/udp/239.94.2.70:5140
CCTV2,http://171.213.166.46:4022/udp/239.94.0.2:5140
CCTV2,http://171.213.166.46:4022/udp/239.94.2.35:5140
CCTV2,http://117.8.142.177:8834/udp/225.1.1.133:5002
CCTV2,http://120.0.44.212:9999/rtp/239.253.92.190:6065
