更新时间,#genre#
20260426 04:31,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8


央视频道,#genre#
CCTV1,http://223.198.240.52:4000/rtp/239.253.64.12:5140
CCTV1,http://183.188.159.32:6000/rtp/226.0.2.153:9136
CCTV1,http://183.188.159.32:6000/rtp/226.0.2.18:8056
CCTV1,http://218.68.54.108:4022/udp/225.1.1.120:5002
CCTV1,http://171.213.197.113:4000/udp/239.94.0.1:5140
CCTV1,http://171.213.197.113:4000/udp/239.94.2.34:5140
CCTV1,http://171.213.197.113:4000/udp/239.94.1.18:5140
CCTV1,http://171.213.197.113:4000/udp/239.94.1.151:5140
CCTV1,http://171.213.197.113:4000/udp/239.94.0.31:5140
CCTV1,http://171.213.197.113:4000/udp/239.94.2.69:5140
CCTV1,http://60.223.72.230:8001/rtp/226.0.2.153:9136
CCTV1,http://60.223.72.230:8001/rtp/226.0.2.18:8056
CCTV1,http://123.14.57.49:4022/rtp/225.1.4.73:1102
CCTV1,http://123.14.57.49:4022/rtp/225.1.4.1:1030
CCTV1,http://183.129.255.66:8480/udp/233.50.200.99:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.200.130:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.200.143:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.118:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.222:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.200.247:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.202.21:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.202.22:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.54:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.1:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.31:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.88:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.92:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.94:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.96:5140
CCTV1,http://183.129.255.66:8480/udp/233.50.201.95:5140
CCTV2,http://223.198.240.52:4000/rtp/239.253.64.13:5140
CCTV2,http://183.188.159.32:6000/rtp/226.0.2.154:9144
CCTV2,http://183.188.159.32:6000/rtp/226.0.2.19:8064
CCTV2,http://218.68.54.108:4022/udp/225.1.1.133:5002
CCTV2,http://171.213.197.113:4000/udp/239.94.2.70:5140
CCTV2,http://171.213.197.113:4000/udp/239.94.0.2:5140
CCTV2,http://171.213.197.113:4000/udp/239.94.2.35:5140
CCTV2,http://60.223.72.230:8001/rtp/226.0.2.154:9144
CCTV2,http://60.223.72.230:8001/rtp/226.0.2.19:8064
CCTV2,http://123.14.57.49:4022/rtp/225.1.4.74:1103
CCTV2,http://123.14.57.49:4022/rtp/225.1.4.2:1031
CCTV2,http://183.129.255.66:8480/udp/233.50.200.25:5140
CCTV2,http://183.129.255.66:8480/udp/233.50.200.100:5140
CCTV2,http://183.129.255.66:8480/udp/233.50.201.119:5140
CCTV2,http://183.129.255.66:8480/udp/233.50.201.2:5140
CCTV2,http://223.10.85.129:8888/udp/239.1.1.8:8008
CCTV2,http://42.237.223.102:8899/rtp/225.1.4.74:1103
CCTV2,http://42.237.223.102:8899/rtp/225.1.4.2:1031
CCTV2,http://115.206.160.91:8888/udp/233.50.200.25:5140
CCTV2,http://115.206.160.91:8888/udp/233.50.200.100:5140
CCTV2,http://115.206.160.91:8888/udp/233.50.201.119:5140
CCTV2,http://115.206.160.91:8888/udp/233.50.201.2:5140
CCTV2,http://49.72.224.105:4000/rtp/239.49.8.130:6000
CCTV2,http://49.72.224.105:4000/rtp/239.49.1.2:6000
CCTV2,http://110.228.110.200:4022/rtp/239.253.92.190:6065
CCTV2,http://171.213.158.140:4000/udp/239.94.2.70:5140
CCTV2,http://171.213.158.140:4000/udp/239.94.0.2:5140
CCTV2,http://171.213.158.140:4000/udp/239.94.2.35:5140
CCTV2,http://118.120.181.57:9000/udp/239.94.2.70:5140
CCTV2,http://118.120.181.57:9000/udp/239.94.0.2:5140
CCTV3,http://183.188.159.32:6000/rtp/226.0.2.208:9576
CCTV3,http://183.188.159.32:6000/rtp/226.0.2.20:8072
CCTV3,http://218.68.54.108:4022/udp/225.1.1.158:5002
CCTV3,http://171.213.197.113:4000/udp/239.94.0.32:5140
CCTV3,http://171.213.197.113:4000/udp/239.94.0.3:5140
CCTV3,http://60.223.72.230:8001/rtp/226.0.2.208:9576
CCTV3,http://60.223.72.230:8001/rtp/226.0.2.20:8072
